Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,1297.0,2021-01-01,1290.73,1300.42,1284.74,1279.9,1275.05,1268.16,Awaiting Targets
2021-01-04,1314.6,2021-01-01,1290.73,1300.42,1284.74,1279.9,1275.05,1268.16,Stop Loss has occured
