Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,643.1,2020-12-24,625.95,614.0,635.33,641.92,649.41,656.67,Target 3 Reached
2021-01-04,693.0,2020-12-24,625.95,614.0,635.33,641.92,649.41,656.67,Final Target Reached
