Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,99.05,2020-12-30,98.99,99.84,98.46,98.04,97.62,97.01,Target 2 Reached
2021-01-04,99.05,2021-01-04,99.32,98.84,99.7,99.96,100.27,100.56,Awaiting Targets
