Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,389.7,2020-12-21,356.88,361.56,353.98,351.64,349.29,345.96,Target 3 Reached
2021-01-04,403.1,2020-12-21,356.88,361.56,353.98,351.64,349.29,345.96,Target 3 Reached
